28-09-2022 15:41:39 INFO     finished
cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_.csv dataset
27-027-09-2022 19:20:16 INFO     Folder contains 14 files, beginning extraction...
27-09-2022 19:20:17 INFO     All files added to list of data frames...
27-09-2022 20:58:41 INFO     Folder contains 14 files, beginning extraction...
27-09-2022 20:58:43 INFO     All files added to list of data frames...
27-09-2022 23:43:55 INFO     Folder contains 14 files, beginning extraction...
27-09-2022 23:43:57 INFO     All files added to list of data frames...
28-09-2022 01:37:52 INFO     Folder contains 14 files, beginning extraction...
28-09-2022 01:37:53 INFO     All files added to list of data frames...
28-09-2022 02:17:50 INFO     Folder contains 14 files, beginning extraction...
28-09-2022 02:17:52 INFO     All files added to list of data frames...
sv dataset
27-09-2022 17:24:13 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_phone_gyr_.csv dataset
27-09-2022 17:24:17 INFO     Computing cross validated metrics and confusion matrix for Random Forest on activity_recognition_phone_acc_phone_gyr_.csv dataset
27-09-2022 17:24:43 INFO     Computing cross validated metrics and confusion matrix for Support Vector Machine on activity_recognition_phone_acc_phone_gyr_.csv dataset
27-09-2022 17:24:55 INFO     Computing cross validated metrics and confusion matrix for Multi-layer Perceptron on activity_recognition_phone_acc_phone_gyr_.csv dataset
27-09-2022 17:31:20 INFO     Computing cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_phone_gyr_watch_acc_.csv dataset
27-09-2022 17:31:21 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_phone_gyr_watch_acc_.csv dataset
27-09-2022 17:31:26 INFO     Computing cross validated metrics and confusion matrix for Random Forest on activity_recognition_phone_acc_phone_gyr_watch_acc_.csv dataset
27-09-2022 17:31:54 INFO     Computing cross validated metrics and confusion matrix for Support Vector Machine on activity_recognition_phone_acc_phone_gyr_watch_acc_.csv dataset
27-09-2022 17:32:01 INFO     Computing cross validated metrics and confusion matrix for Multi-layer Perceptron on activity_recognition_phone_acc_phone_gyr_watch_acc_.csv dataset
27-09-2022 17:35:28 INFO     Computing cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_phone_gyr_watch_gyr_.csv dataset
27-09-2022 17:35:29 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_phone_gyr_watch_gyr_.csv dataset
27-09-2022 17:35:34 INFO     Computing cross validated metrics and confusion matrix for Random Forest on activity_recognition_phone_acc_phone_gyr_watch_gyr_.csv dataset
27-09-2022 17:36:04 INFO     Computing cross validated metrics and confusion matrix for Support Vector Machine on activity_recognition_phone_acc_phone_gyr_watch_gyr_.csv dataset
27-09-2022 17:36:14 INFO     Computing cross validated metrics and confusion matrix for Multi-layer Perceptron on activity_recognition_phone_acc_phone_gyr_watch_gyr_.csv dataset
27-09-2022 17:41:58 INFO     Computing cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_watch_acc_.csv dataset
27-09-2022 17:41:58 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_watch_acc_.csv dataset
27-09-2022 17:42:01 INFO     Computing cross validated metrics and confusion matrix for Random Forest on activity_recognition_phone_acc_watch_acc_.csv dataset
27-09-2022 17:42:24 INFO     Computing cross validated metrics and confusion matrix for Support Vector Machine on activity_recognition_phone_acc_watch_acc_.csv dataset
27-09-2022 17:42:31 INFO     Computing cross validated metrics and confusion matrix for Multi-layer Perceptron on activity_recognition_phone_acc_watch_acc_.csv dataset
27-09-2022 17:46:58 INFO     Computing cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_watch_acc_watch_gyr_.csv dataset
27-09-2022 17:46:59 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_watch_acc_watch_gyr_.csv dataset
27-09-2022 17:47:04 INFO     Computing cross validated metrics and confusion matrix for Random Forest on activity_recognition_phone_acc_watch_acc_watch_gyr_.csv dataset
27-09-2022 17:47:35 INFO     Computing cross validated metrics and confusion matrix for Support Vector Machine on activity_recognition_phone_acc_watch_acc_watch_gyr_.csv dataset
27-09-2022 17:47:44 INFO     Computing cross validated metrics and confusion matrix for Multi-layer Perceptron on activity_recognition_phone_acc_watch_acc_watch_gyr_.csv dataset
27-09-2022 17:51:22 INFO     Computing cross validated metrics and confusion matrix for Naive Bayes on activity_recognition_phone_acc_watch_gyr_.csv dataset
27-09-2022 17:51:22 INFO     Computing cross validated metrics and confusion matrix for Decision Tree on activity_recognition_phone_acc_watch_gyr_.csv dataset
